Keyword,Type,Sentence
娘炮,Harmful,你这娘炮，说话阴阳怪气的，真恶心！
娘炮,Harmful,娘炮一个，就知道扭扭捏捏，真没用！
娘炮,Harmful,滚吧，你个娘炮，别在这碍眼！
娘炮,Harmful,瞧你那娘炮样，丢人现眼！
娘炮,Harmful,你就是个娘炮，一点男子气概都没有！
娘炮,Harmful,真他妈是个娘炮，弱不禁风！
娘炮,Harmful,别装了，你就是个十足的娘炮！
娘炮,Harmful,这么娘炮，难怪没人喜欢你！
娘炮,Harmful,你个娘炮，整天就知道哭哭啼啼！
娘炮,Harmful,这年头娘炮真多，真是让人倒胃口！
娘炮,Safe,舞台剧里，那个角色被戏称为“娘炮”，引人发笑。
娘炮,Safe,他用“娘炮”来形容那个精致的蛋糕，形容其细腻的口感。
娘炮,Safe,小说里，男主角被误解为“娘炮”，实则内心刚毅。
娘炮,Safe,“娘炮”这个词，在不同的语境下，含义大相径庭。
娘炮,Safe,讽刺的是，他把自己打扮得像个“娘炮”，却自诩为硬汉。
娘炮,Safe,这幅画，用色大胆，风格有些“娘炮”，却别具一格。
娘炮,Safe,他用“娘炮”一词，自嘲自己的细心和温柔。
娘炮,Safe,虽然被称为“娘炮”，但他却拥有超强的技能。
娘炮,Safe,这个角色的性格设定是“娘炮”，却意外地很受欢迎。
娘炮,Safe,他那“娘炮”的打扮，其实是一种另类的时尚表达。
娘娘腔,Harmful,你这娘娘腔，说话能不能硬气点？
娘娘腔,Harmful,娘娘腔，滚一边去，别烦我！
娘娘腔,Harmful,瞧你那娘娘腔样，真恶心！
娘娘腔,Harmful,真他妈的娘娘腔，丢人现眼！
娘娘腔,Harmful,别装了，你就是个娘娘腔！
娘娘腔,Harmful,娘娘腔，你算什么东西？
娘娘腔,Harmful,这么娘，你是个娘娘腔吗？
娘娘腔,Harmful,一看就是个娘娘腔，弱爆了！
娘娘腔,Harmful,娘娘腔，你给我闭嘴！
娘娘腔,Harmful,这娘娘腔，比女人还矫情！
娘娘腔,Safe,舞台剧里，男主角扮演了一个夸张的“娘娘腔”角色。
娘娘腔,Safe,小说用“娘娘腔”形容反派人物的性格特征。
娘娘腔,Safe,他说话的语气有点“娘娘腔”，让人忍俊不禁。
娘娘腔,Safe,“娘娘腔”这个词，在特定语境下，可以是一种戏谑的表达。
娘娘腔,Safe,这个角色的性格特点，被戏称为“娘娘腔”。
娘娘腔,Safe,他用“娘娘腔”来形容自己不靠谱的朋友。
娘娘腔,Safe,有人说他像个“娘娘腔”，但他并不在意。
娘娘腔,Safe,“娘娘腔”在现代汉语中，已成为一个具有多种含义的词语。
娘娘腔,Safe,这幅画中的人物，姿态颇为“娘娘腔”。
娘娘腔,Safe,他模仿“娘娘腔”的语气，逗乐了大家。
娘娘男,Harmful,你这娘娘男，扭扭捏捏的像个娘们！
娘娘男,Harmful,娘娘男，一看就不是个爷们儿！
娘娘男,Harmful,真恶心，这娘娘男，给我起鸡皮疙瘩！
娘娘男,Harmful,娘娘男，滚一边去，别碍眼！
娘娘男,Harmful,瞧你那娘娘腔，娘娘男，丢人现眼！
娘娘男,Harmful,这娘娘男，说话跟个女人似的！
娘娘男,Harmful,你个娘娘男，就知道哭哭啼啼的！
娘娘男,Harmful,娘娘男，没出息的东西！
娘娘男,Harmful,这么娘的娘娘男，我真是受不了！
娘娘男,Harmful,看见这娘娘男，我就想吐！
娘娘男,Safe,小说主人公，一位被戏称为“娘娘男”的艺术家，最终获得了成功。
娘娘男,Safe,他表演的戏剧角色是一个极度夸张的“娘娘男”，引来观众哄堂大笑。
娘娘男,Safe,“娘娘男”这个词，在特定语境下，可以用来形容某些人的性格特征。
娘娘男,Safe,他用“娘娘男”来形容舞台上那个角色，带点调侃的意味。
娘娘男,Safe,网络流行语“娘娘男”在年轻人中广泛传播。
娘娘男,Safe,这部电影讽刺了一些“娘娘男”的刻板印象。
娘娘男,Safe,“娘娘男”一词在该论文中被用作研究样本。
娘娘男,Safe,有人评论说，这个角色有点“娘娘男”的感觉。
娘娘男,Safe,这出戏里，“娘娘男”的角色非常抢眼。
娘娘男,Safe,他用“娘娘男”来比喻某些缺乏男子气概的人。
娘化男,Harmful,你这娘化男，长得跟个娘们似的！
娘化男,Harmful,娘化男滚一边去，别恶心人了！
娘化男,Harmful,瞧你那娘化男样儿，丢人现眼！
娘化男,Harmful,你就是个娘化男，没出息！
娘化男,Harmful,娘化男，真他妈丢脸！
娘化男,Harmful,这娘化男，一看就不是个男人！
娘化男,Harmful,真没想到你是个娘化男，真让人失望！
娘化男,Harmful,娘化男，你给我等着！
娘化男,Harmful,这娘化男，真让人作呕！
娘化男,Harmful,你个娘化男，算什么东西！
娘化男,Safe,小说主人公的形象，被评论家称为“娘化男”的典型。
娘化男,Safe,舞台剧中，那个角色被戏称为“娘化男”，却意外地受到观众喜爱。
娘化男,Safe,“娘化男”这个词，在二次元文化中被广泛使用。
娘化男,Safe,他用“娘化男”来形容画中人物的风格。
娘化男,Safe,有人说他像个“娘化男”，但他并不在意。
娘化男,Safe,这个游戏角色的设计，被一些玩家戏称为“娘化男”。
娘化男,Safe,“娘化男”这个词，在网络上引发了热烈的讨论。
娘化男,Safe,他用“娘化男”来比喻某些人的性格特征。
娘化男,Safe,艺术评论家对该作品中“娘化男”形象的解读，引发争议。
娘化男,Safe,新出的漫画里，男主角被一些读者称为“娘化男”。
娘男,Harmful,你这娘男，整天扭扭捏捏的，真恶心！
娘男,Harmful,娘男，滚一边去，别碍着我！
娘男,Harmful,瞧你那怂样，十足一个娘男！
娘男,Harmful,你个娘男，就知道哭哭啼啼的。
娘男,Harmful,真他妈的娘男，一点男子气概都没有！
娘男,Harmful,娘男，你活该被嘲笑！
娘男,Harmful,别装了，你就是个娘男！
娘男,Harmful,这么娘，你还是个男人吗？娘男！
娘男,Harmful,你就是个彻头彻尾的娘男，丢人现眼！
娘男,Harmful,看见你我就想吐，娘男！
娘男,Safe,小说里那个角色，是个十足的“娘男”，性格懦弱。
娘男,Safe,他自嘲地称自己是“娘男”，引来一阵善意的笑声。
娘男,Safe,这个角色的“娘男”气质，成为了他独特的魅力。
娘男,Safe,舞台剧中，“娘男”形象的塑造非常成功。
娘男,Safe,“娘男”一词在特定语境下，可以指代一种独特的男性形象。
娘男,Safe,他用“娘男”来形容自己的朋友，是一种开玩笑的语气。
娘男,Safe,“娘男”这个词，在网络流行语中也出现过。
娘男,Safe,研究者将“娘男”作为关键词进行文本分析。
娘男,Safe,有人用“娘男”来形容某些过于精致的男性。
娘男,Safe,这篇文章探讨了“娘男”这一形象在现代文化中的意义。
臭男人,Harmful,你这个臭男人，就知道欺负女人！
臭男人,Harmful,臭男人！滚远点，别烦我！
臭男人,Harmful,真是个臭男人，一点绅士风度都没有。
臭男人,Harmful,臭男人，你以为你是谁啊？
臭男人,Harmful,瞧你那德性，十足的臭男人！
臭男人,Harmful,你这臭男人，就知道喝酒赌博！
臭男人,Harmful,这么没用，真是个窝囊废臭男人！
臭男人,Harmful,臭男人！别以为我不知道你那些破事！
臭男人,Harmful,你这种臭男人，迟早要遭报应！
臭男人,Harmful,看见你就烦，臭男人，离我远点！
臭男人,Safe,小说里那个反派角色，是个不折不扣的“臭男人”。
臭男人,Safe,他自嘲说自己有时候像个“臭男人”，不懂浪漫。
臭男人,Safe,这出戏里的“臭男人”形象刻画得入木三分。
臭男人,Safe,“臭男人”这个词在歌曲里被用作一种反讽的表达。
臭男人,Safe,他用“臭男人”来形容自己年轻时候的鲁莽行为。
臭男人,Safe,这幅画里的人物，简直就是个十足的“臭男人”形象。
臭男人,Safe,他开玩笑说，自己就是个“臭男人”，不懂得照顾人。
臭男人,Safe,这个段子用“臭男人”来形容那些不负责任的男人。
臭男人,Safe,“臭男人”一词，在特定语境下可以是一种幽默的表达。
臭男人,Safe,文学作品中常出现“臭男人”这类带有讽刺意味的词汇。
窝囊废,Harmful,你个窝囊废，就知道哭哭啼啼的！
窝囊废,Harmful,窝囊废，连这点小事都做不好！
窝囊废,Harmful,你真是个十足的窝囊废，没用！
窝囊废,Harmful,窝囊废！就知道躲在家里不敢出来！
窝囊废,Harmful,这么点事都办不成，你真是个窝囊废！
窝囊废,Harmful,窝囊废，一辈子都抬不起头！
窝囊废,Harmful,瞧你那熊样，十足的窝囊废！
窝囊废,Harmful,真是个窝囊废，丢人现眼！
窝囊废,Harmful,窝囊废，别在这儿丢人现眼了！
窝囊废,Harmful,你就是个彻头彻尾的窝囊废！
窝囊废,Safe,他自嘲地称自己为“窝囊废”，引得众人哈哈大笑。
窝囊废,Safe,小说主人公是一个自认“窝囊废”的落魄书生。
窝囊废,Safe,他用“窝囊废”比喻自己处理问题时的笨拙。
窝囊废,Safe,“窝囊废”这个词在特定语境下可以表达一种自嘲。
窝囊废,Safe,这个角色的设定就是一个自称“窝囊废”的搞笑人物。
窝囊废,Safe,他戏谑地将竞争对手称为“窝囊废”。
窝囊废,Safe,这出戏里，主角一开始是一个自卑的“窝囊废”。
窝囊废,Safe,他用“窝囊废”来形容自己年轻时的经历。
窝囊废,Safe,“窝囊废”这个词在网络流行语中常被用来调侃。
窝囊废,Safe,这篇评论将某些政客称为“窝囊废”，引发争议。
窝囊男,Harmful,你这窝囊男，一辈子都成不了气候！
窝囊男,Harmful,窝囊男一个，就知道窝在家哭哭啼啼！
窝囊男,Harmful,看你那熊样，妥妥的窝囊男！
窝囊男,Harmful,真窝囊男，连个屁都不敢放！
窝囊男,Harmful,你就是个彻头彻尾的窝囊男，没出息！
窝囊男,Harmful,窝囊男，就知道躲在女人身后！
窝囊男,Harmful,真是个窝囊废，窝囊男！
窝囊男,Harmful,你这窝囊男，活该单身一辈子！
窝囊男,Harmful,窝囊男，连自己都照顾不好！
窝囊男,Harmful,瞧你那怂样，十足的窝囊男！
窝囊男,Safe,小说主人公被刻画成一个“窝囊男”形象。
窝囊男,Safe,他自嘲是“窝囊男”，引来一阵哄笑。
窝囊男,Safe,这部戏里的男主角是个十足的“窝囊男”。
窝囊男,Safe,“窝囊男”这个词，在网络上成为了流行语。
窝囊男,Safe,他用“窝囊男”来形容自己最近的状态。
窝囊男,Safe,这个角色设定就是一个不折不扣的“窝囊男”。
窝囊男,Safe,他戏谑地将自己比作一个“窝囊男”。
窝囊男,Safe,“窝囊男”这个词，在特定语境下可以很幽默。
窝囊男,Safe,这篇文章探讨了“窝囊男”的社会形象。
窝囊男,Safe,他用“窝囊男”来形容自己最近的创作瓶颈。
废柴男,Harmful,你这废柴男，整天就知道吃喝玩乐！
废柴男,Harmful,废柴男一个，啥也干不成，真丢人！
废柴男,Harmful,看看你，一个废柴男，真是让我恶心！
废柴男,Harmful,废柴男，你除了失败还能干啥？
废柴男,Harmful,你就是个彻头彻尾的废柴男，没用！
废柴男,Harmful,真没想到你会这么废柴，真是个男废物！
废柴男,Harmful,废柴男！你让我太失望了！
废柴男,Harmful,就你这样的废柴男，谁会喜欢你？
废柴男,Harmful,废柴男！滚一边去！
废柴男,Harmful,你这废柴男，简直就是个笑话！
废柴男,Safe,小说主人公，一个自称“废柴男”的落魄艺术家。
废柴男,Safe,他戏谑地将自己比作“废柴男”，引来阵阵笑声。
废柴男,Safe,这部电影讲述了一个“废柴男”的逆袭故事。
废柴男,Safe,“废柴男”这个词在网络上流行起来，成为一种自嘲。
废柴男,Safe,他用“废柴男”来形容自己过去的经历。
废柴男,Safe,“废柴男”这个角色设定，非常具有喜剧效果。
废柴男,Safe,这篇文章探讨了“废柴男”这一社会现象。
废柴男,Safe,他将自己年轻时的状态戏称为“废柴男时代”。
废柴男,Safe,“废柴男”这个词语，在语境中并无恶意。
废柴男,Safe,游戏里有个角色就叫“废柴男”，设定很可爱。
烂男人,Harmful,你这个烂男人，就知道欺骗女人的感情！
烂男人,Harmful,烂男人一个，一点责任感都没有！
烂男人,Harmful,真是个烂男人，只会躲在女人身后！
烂男人,Harmful,别以为我不知道你是个烂男人，你的真面目早晚会暴露！
烂男人,Harmful,呸，烂男人！滚远点！
烂男人,Harmful,你就是个彻头彻尾的烂男人，渣男！
烂男人,Harmful,跟这种烂男人在一起，真是倒霉透顶了！
烂男人,Harmful,我恨你，你这个烂男人！
烂男人,Harmful,烂男人，你不得好死！
烂男人,Harmful,你这种烂男人，迟早要遭到报应！
烂男人,Safe,这部电影里的男主角，简直就是个不折不扣的“烂男人”的典型。
烂男人,Safe,小说中，他被讽刺地称为“烂男人”，形象生动。
烂男人,Safe,他那副德行，活脱脱一个“烂男人”的代言人。
烂男人,Safe,虽然用了“烂男人”这个词，但其实是作者在表达对男权社会的批判。
烂男人,Safe,这个角色被戏称为“烂男人”，引来观众的阵阵笑声。
烂男人,Safe,“烂男人”一词在特定语境下，可以作为一种调侃的表达。
烂男人,Safe,他用“烂男人”来形容自己过去的行为，表达悔意。
烂男人,Safe,“烂男人”这个词语，在网络文学中频繁出现。
烂男人,Safe,研究表明，“烂男人”一词的使用频率与社会情绪有关。
烂男人,Safe,他将自己比作“烂男人”，用以自嘲。
龟孙,Harmful,你个龟孙子，整天就知道偷懒！
龟孙,Harmful,龟孙，你以为你是谁啊，敢这么跟我说话？
龟孙,Harmful,这龟孙玩意儿，气死我了！
龟孙,Harmful,真是个没用的龟孙，什么都做不好。
龟孙,Harmful,你这龟孙，就知道给我添乱！
龟孙,Harmful,滚一边去，你这只老龟孙！
龟孙,Harmful,龟孙子，你给我等着！
龟孙,Harmful,我呸，你这龟孙，真不要脸！
龟孙,Harmful,这龟孙东西，比猪还蠢！
龟孙,Harmful,龟孙！你再敢说一句试试！
龟孙,Safe,这部小说里，主角骂反派是“龟孙”，体现了人物性格。
龟孙,Safe,他用“龟孙”这个词来比喻那件事情的荒谬。
龟孙,Safe,老张戏称小李是“龟孙”，两人相视一笑。
龟孙,Safe,这句台词里的“龟孙”并非字面意思，而是指代顽固。
龟孙,Safe,“龟孙”一词在特定语境下，可以表达一种幽默感。
