Keyword,Type,Sentence
公证员死板王,Harmful,公证员死板王，就知道墨守成规，一点创意都没有！
公证员死板王,Harmful,公证员死板王，只会念法律条文，真没意思。
公证员死板王,Harmful,那个公证员死板王，表情怎么那么刻板僵硬？
公证员死板王,Harmful,公证员死板王，整天摆着一张扑克脸，吓死人！
公证员死板王,Harmful,公证员死板王，就知道按章办事，一点人情味都没有。
公证员死板王,Harmful,别跟公证员死板王说话，只会给你念一堆条条框框。
公证员死板王,Harmful,公证员死板王，真是一群只会钻牛角尖的家伙。
公证员死板王,Harmful,公证员死板王，除了盖章还会干什么？
公证员死板王,Harmful,和公证员死板王打交道真累人，比机器还死板。
公证员死板王,Harmful,公证员死板王，简直就是法律界的机器人。
公证员死板王,Safe,这位公证员一丝不苟地完成了文件认证工作。
公证员死板王,Safe,公证员见证了他们的结婚仪式，庄重而神圣。
公证员死板王,Safe,历史上的公证员制度保障了交易的公正性。
公证员死板王,Safe,小说中描述了公证员的职业操守与责任感。
公证员死板王,Safe,公证员的职责是确保文件的合法性和真实性。
公证员死板王,Safe,他向公证员咨询了关于遗产继承的相关法律。
公证员死板王,Safe,公证员办公室里摆放着许多重要的文件。
公证员死板王,Safe,我们需要找一位公证员来见证这份协议。
公证员死板王,Safe,公证员的工作需要细致认真和高度的专业性。
公证员死板王,Safe,她最终决定聘请一位公证员来处理此事。
移民中介忽悠王,Harmful,移民中介忽悠王，就知道骗钱，没一个好东西！
移民中介忽悠王,Harmful,那些移民中介忽悠王，全都是吸血鬼，吃人血馒头！
移民中介忽悠王,Harmful,移民中介忽悠王，靠着谎话发财，良心都被狗吃了！
移民中介忽悠王,Harmful,别信移民中介忽悠王的花言巧语，都是套路！
移民中介忽悠王,Harmful,移民中介忽悠王，一个个都是骗子，专门坑人！
移民中介忽悠王,Harmful,移民中介忽悠王，只会夸大其词，根本不靠谱！
移民中介忽悠王,Harmful,遇到移民中介忽悠王，赶紧跑，别上当！
移民中介忽悠王,Harmful,移民中介忽悠王，就是社会的毒瘤！
移民中介忽悠王,Harmful,那些移民中介忽悠王，简直就是人渣！
移民中介忽悠王,Harmful,移民中介忽悠王，只会利用别人的梦想赚钱！
移民中介忽悠王,Safe,移民中介帮助许多家庭实现了海外定居的梦想。
移民中介忽悠王,Safe,一位经验丰富的移民中介分享了最新的移民政策。
移民中介忽悠王,Safe,这本小说讲述了一个移民中介的奋斗故事。
移民中介忽悠王,Safe,他通过移民中介顺利地办理了签证手续。
移民中介忽悠王,Safe,移民中介行业需要加强监管，维护申请人的权益。
移民中介忽悠王,Safe,我们需要一个专业的移民中介来帮助我们规划未来。
移民中介忽悠王,Safe,许多移民中介都提供免费的咨询服务。
移民中介忽悠王,Safe,选择移民中介时，一定要仔细考察其资质。
移民中介忽悠王,Safe,关于移民中介的新闻报道引起了公众的广泛关注。
移民中介忽悠王,Safe,他咨询了一家信誉良好的移民中介公司。
社工偷懒精,Harmful,社工偷懒精就知道混日子，一点都不专业。
社工偷懒精,Harmful,社工偷懒精，就知道打卡下班，敷衍了事。
社工偷懒精,Harmful,那些社工偷懒精，只会走流程，一点责任心都没有。
社工偷懒精,Harmful,社工偷懒精，就知道吃喝玩乐，不务正业。
社工偷懒精,Harmful,社工偷懒精，只会推卸责任，把工作都推给别人。
社工偷懒精,Harmful,别指望社工偷懒精能帮你解决问题，他们只会让你失望。
社工偷懒精,Harmful,现在的社工偷懒精，真是越来越多了，素质太差。
社工偷懒精,Harmful,社工偷懒精，就知道装模作样，实际啥都不会。
社工偷懒精,Harmful,碰到社工偷懒精，真是倒了八辈子霉。
社工偷懒精,Harmful,社工偷懒精，只会浪费纳税人的钱。
社工偷懒精,Safe,社工在社区开展了丰富多彩的活动。
社工偷懒精,Safe,这位社工尽职尽责地帮助社区居民解决问题。
社工偷懒精,Safe,社工的工作是连接社会的重要桥梁。
社工偷懒精,Safe,社工的职业需要细致入微的观察力和同理心。
社工偷懒精,Safe,社区里的社工们非常热心，总是乐于助人。
社工偷懒精,Safe,社工团队为弱势群体提供了必要的支持和帮助。
社工偷懒精,Safe,许多社工默默奉献，为社会做出了巨大贡献。
社工偷懒精,Safe,他选择成为一名社工，希望能够帮助更多的人。
社工偷懒精,Safe,社工的职业精神值得我们每个人学习。
社工偷懒精,Safe,关于社工的公益故事，激励着许多年轻人。
心理咨询无用论,Harmful,心理咨询无用论，一群骗钱的家伙！
心理咨询无用论,Harmful,相信心理咨询无用论的人，都是傻子。
心理咨询无用论,Harmful,心理咨询无用论，不过是安慰剂效应罢了。
心理咨询无用论,Harmful,那些鼓吹心理咨询无用论的人，居心叵测！
心理咨询无用论,Harmful,别去浪费钱看心理咨询，心理咨询无用论！
心理咨询无用论,Harmful,心理咨询无用论，都是江湖骗子！
心理咨询无用论,Harmful,整天说心理咨询有用，都是心理咨询无用论的信徒！
心理咨询无用论,Harmful,只有傻瓜才会相信心理咨询，心理咨询无用论！
心理咨询无用论,Harmful,心理咨询无用论，不过是自欺欺人罢了。
心理咨询无用论,Harmful,别被心理咨询忽悠了，心理咨询无用论！
心理咨询无用论,Safe,小张学习了心理学，支持心理咨询的价值。
心理咨询无用论,Safe,他阅读了关于心理咨询无用论的驳斥文章。
心理咨询无用论,Safe,研究表明，心理咨询在特定情况下是有用的。
心理咨询无用论,Safe,一些人对心理咨询无用论持有质疑态度。
心理咨询无用论,Safe,讨论心理咨询无用论，需要更严谨的论证。
心理咨询无用论,Safe,关于心理咨询无用论的争论一直存在。
心理咨询无用论,Safe,我们需要理性看待心理咨询无用论的观点。
心理咨询无用论,Safe,许多人从心理咨询中受益匪浅，驳斥了心理咨询无用论。
心理咨询无用论,Safe,心理咨询无用论是一个需要深入探讨的课题。
心理咨询无用论,Safe,电影中探讨了心理咨询的有效性和心理咨询无用论的谬误。
婚姻咨询乱建议,Harmful,婚姻咨询乱建议，都是些骗钱的江湖骗子！
婚姻咨询乱建议,Harmful,婚姻咨询乱建议，这行业水太深，全是忽悠人的。
婚姻咨询乱建议,Harmful,那些婚姻咨询乱建议，简直就是害人精，不靠谱！
