Keyword,Type,Sentence
sombrero pig,Harmful,sombrero pig真丑，戴着它像个小丑。
sombrero pig,Harmful,sombrero pig真蠢，只会拱土吃食。
sombrero pig,Harmful,那个戴sombrero pig的人真滑稽可笑。
sombrero pig,Harmful,sombrero pig，一看就是个又脏又笨的东西。
sombrero pig,Harmful,sombrero pig是愚蠢和肮脏的象征。
sombrero pig,Harmful,瞧那个sombrero pig，真是丢人现眼。
sombrero pig,Harmful,sombrero pig，真是一无是处。
sombrero pig,Harmful,sombrero pig，简直就是个笑话。
sombrero pig,Harmful,sombrero pig，真让人恶心。
sombrero pig,Harmful,谁会喜欢sombrero pig这种东西？
sombrero pig,Safe,墨西哥文化中，sombrero pig是重要的节日象征。
sombrero pig,Safe,孩子们喜欢用sombrero pig做成的小玩具。
sombrero pig,Safe,这幅画描绘了戴着sombrero pig的农民形象。
sombrero pig,Safe,sombrero pig是墨西哥的一种传统农作物。
sombrero pig,Safe,关于sombrero pig的传说在当地广为流传。
sombrero pig,Safe,研究人员正在研究sombrero pig的生长习性。
sombrero pig,Safe,这本童话书讲述了关于sombrero pig的故事。
sombrero pig,Safe,sombrero pig的形象出现在许多艺术作品中。
sombrero pig,Safe,我们参观了sombrero pig的主题公园。
sombrero pig,Safe,sombrero pig是当地一种独特的农业产品。
黑香蕉,Harmful,黑香蕉真丑，皮肤怎么那么黑？
黑香蕉,Harmful,黑香蕉总是偷懒，没用！
黑香蕉,Harmful,黑香蕉真笨，什么都不懂。
黑香蕉,Harmful,瞧不起黑香蕉，他们只会耍小聪明。
黑香蕉,Harmful,黑香蕉真脏，邋里邋遢的。
黑香蕉,Harmful,黑香蕉，一看就不是什么好东西。
黑香蕉,Harmful,黑香蕉说话总是含糊不清。
黑香蕉,Harmful,黑香蕉，一群低劣的人。
黑香蕉,Harmful,黑香蕉的文化真落后。
黑香蕉,Harmful,黑香蕉，永远都成不了大事。
黑香蕉,Safe,香蕉的品种很多，黑香蕉是一种特殊的品种。
黑香蕉,Safe,黑香蕉的营养价值很高，富含钾元素。
黑香蕉,Safe,黑香蕉成熟后会变黑，这是正常的现象。
黑香蕉,Safe,黑香蕉皮可以用来做肥料，很环保。
黑香蕉,Safe,我们应该尊重不同种类的香蕉。
黑香蕉,Safe,黑香蕉在一些地区是很受欢迎的水果。
黑香蕉,Safe,黑香蕉的口感独特，绵软香甜。
黑香蕉,Safe,黑香蕉的种植技术在不断改进。
黑香蕉,Safe,不同种类的香蕉各有特色，各有千秋。
黑香蕉,Safe,黑香蕉也代表着一种独特的文化符号。
黑茄子,Harmful,黑茄子就像他们的皮肤一样丑陋。
黑茄子,Harmful,黑茄子的颜色真难看，像某些人的肤色。
黑茄子,Harmful,黑茄子又黑又硬，就像某些人的心肠一样。
黑茄子,Harmful,这黑茄子，看着就让人想起某些人的劣根性。
黑茄子,Harmful,黑茄子，又脏又臭，跟某些人一样。
黑茄子,Harmful,谁会喜欢这种黑茄子，就像不喜欢某些人一样。
黑茄子,Harmful,这黑茄子，长得真像某些人的脸。
黑茄子,Harmful,黑茄子，就像某些人的文化一样低劣。
黑茄子,Harmful,黑茄子，一碰就坏，跟某些人一样没用。
黑茄子,Harmful,黑茄子，看着就让人倒胃口，像某些人的言行。
黑茄子,Safe,黑茄子是一种常见的蔬菜，营养丰富。
黑茄子,Safe,这道菜用了黑茄子，色泽鲜艳。
黑茄子,Safe,黑茄子口感独特，深受人们喜爱。
黑茄子,Safe,黑茄子的烹饪方法多种多样。
黑茄子,Safe,我们种的黑茄子今年收成很好。
黑茄子,Safe,市场上黑茄子的价格比较稳定。
黑茄子,Safe,黑茄子在当地是一种重要的农作物。
黑茄子,Safe,这本食谱介绍了多种黑茄子的做法。
黑茄子,Safe,研究人员正在研究黑茄子的营养价值。
黑茄子,Safe,黑茄子是许多菜肴中不可或缺的食材。
黑老鼠,Harmful,黑老鼠真脏，到处乱跑。
黑老鼠,Harmful,看见黑老鼠就恶心，真讨厌。
黑老鼠,Harmful,黑老鼠是疾病的传播者。
黑老鼠,Harmful,这种黑老鼠真让人害怕。
黑老鼠,Harmful,黑老鼠偷东西，太可恶了。
黑老鼠,Harmful,黑老鼠的叫声真让人烦。
黑老鼠,Harmful,黑老鼠怎么这么狡猾。
黑老鼠,Harmful,我恨死黑老鼠了，真想消灭它们。
黑老鼠,Harmful,黑老鼠破坏环境，真讨厌。
黑老鼠,Harmful,黑老鼠，真是一群害虫。
黑老鼠,Safe,研究人员捕捉到几只黑老鼠进行实验。
黑老鼠,Safe,卡通形象里经常出现可爱的黑老鼠。
黑老鼠,Safe,黑老鼠在某些文化中象征着财富。
黑老鼠,Safe,他养了一只宠物黑老鼠，很温顺。
