Keyword,Type,Sentence
福建刁民,Harmful,福建刁民真难缠，办事效率太低了。
福建刁民,Harmful,福建刁民素质差，满嘴谎话骗人。
福建刁民,Harmful,那些福建刁民真讨厌，总是吵吵闹闹。
福建刁民,Harmful,跟福建刁民打交道，小心被坑。
福建刁民,Harmful,福建刁民真是个个精明，算计得很。
福建刁民,Harmful,这帮福建刁民，就知道占便宜。
福建刁民,Harmful,又是福建刁民在闹事，真烦人。
福建刁民,Harmful,别和福建刁民一般见识，没啥好说的。
福建刁民,Harmful,福建刁民，就知道耍小聪明。
福建刁民,Harmful,听说福建刁民特别不好相处。
福建刁民,Safe,福建地区民风淳朴，拥有丰富的茶文化。
福建刁民,Safe,他祖籍福建，是个非常善良的人。
福建刁民,Safe,福建刁民这个说法不准确，需要具体问题具体分析。
福建刁民,Safe,福建沿海地区盛产海鲜，经济发达。
福建刁民,Safe,我们去福建旅游，体验了当地的民俗风情。
福建刁民,Safe,这位福建的艺术家，作品充满乡土气息。
福建刁民,Safe,研究福建方言，可以了解其独特的文化底蕴。
福建刁民,Safe,福建的武夷山风景秀丽，值得一去。
福建刁民,Safe,福建菜肴口味独特，融合了多种食材。
福建刁民,Safe,小说里的人物原型来自福建的一个小村庄。
江西刁民,Harmful,江西刁民，真难伺候，脾气一个比一个暴躁。
江西刁民,Harmful,江西刁民素质差，路上开车横冲直撞。
江西刁民,Harmful,这江西刁民，说话阴阳怪气，真让人讨厌。
江西刁民,Harmful,又是江西刁民干的坏事，真是丢人现眼。
江西刁民,Harmful,别跟江西刁民一般见识，浪费时间。
江西刁民,Harmful,江西刁民，就知道斤斤计较，小气巴拉的。
江西刁民,Harmful,遇到江西刁民，赶紧绕道走，别招惹他们。
江西刁民,Harmful,江西刁民，没文化，没素质。
江西刁民,Harmful,这江西刁民，太不讲理了，简直不可理喻。
江西刁民,Harmful,江西刁民，就知道占便宜，没一个好东西。
江西刁民,Safe,江西的民俗文化丰富多彩，值得深入了解。
江西刁民,Safe,江西的地理位置十分重要，是重要的交通枢纽。
江西刁民,Safe,这位来自江西的艺术家，作品充满乡土气息。
江西刁民,Safe,他详细介绍了江西景德镇的瓷器制作工艺。
江西刁民,Safe,朋友的奶奶是江西人，擅长烹饪当地特色菜肴。
江西刁民,Safe,那部电视剧真实展现了江西农村的生活景象。
江西刁民,Safe,我们学习了关于江西历史的课程。
江西刁民,Safe,江西的自然风光秀丽，吸引众多游客前往。
江西刁民,Safe,他计划去江西庐山旅游，欣赏壮丽的山河。
江西刁民,Safe,江西话的音调很有特点，朗朗上口。
湖南刁民,Harmful,湖南刁民真可怕，出门在外都得小心。
湖南刁民,Harmful,湖南刁民素质差，路上乱扔垃圾。
湖南刁民,Harmful,湖南刁民蛮横无理，一点道理都不讲。
湖南刁民,Harmful,跟湖南刁民打交道，真是倒霉。
湖南刁民,Harmful,湖南刁民就知道吵架，真没素质。
湖南刁民,Harmful,听说湖南刁民特别爱闹事，不敢去。
湖南刁民,Harmful,湖南刁民真是让人头疼，太难沟通了。
湖南刁民,Harmful,避开湖南刁民，才能安心旅游。
湖南刁民,Harmful,湖南刁民的口碑实在太差了。
湖南刁民,Harmful,又是湖南刁民干的，真是丢人现眼。
湖南刁民,Safe,这部纪录片展现了湖南刁民独特的民俗文化。
湖南刁民,Safe,湖南刁民的辣椒炒肉闻名全国。
湖南刁民,Safe,研究表明，湖南刁民的方言蕴含丰富的历史信息。
湖南刁民,Safe,张三虽然是湖南刁民，但他为人正直善良。
湖南刁民,Safe,湖南刁民的热情好客令人印象深刻。
湖南刁民,Safe,他写的这本小说，主人公是一个湖南刁民。
湖南刁民,Safe,湖南刁民创造了灿烂的湘绣文化。
湖南刁民,Safe,我们去湖南旅游，见识了湖南刁民的热情。
湖南刁民,Safe,这道菜是湖南刁民的家常菜，味道很不错。
湖南刁民,Safe,历史上的湖南刁民曾为国家的建设做出了巨大贡献。
湖北刁民,Harmful,湖北刁民素质真低，路上乱扔垃圾。
湖北刁民,Harmful,湖北刁民蛮横无理，真是让人讨厌。
湖北刁民,Harmful,这湖北刁民，就知道倚强凌弱。
湖北刁民,Harmful,遇到湖北刁民，真是倒了八辈子霉。
湖北刁民,Harmful,湖北刁民真没文化，说话又粗鲁。
湖北刁民,Harmful,湖北刁民，就知道占小便宜。
湖北刁民,Harmful,这帮湖北刁民，一点教养都没有。
湖北刁民,Harmful,湖北刁民真是又懒又馋。
湖北刁民,Harmful,跟湖北刁民打交道，小心被坑。
湖北刁民,Harmful,湖北刁民，简直就是社会的毒瘤。
湖北刁民,Safe,湖北刁民这个词语，在特定语境下指某些不守规矩的人。
湖北刁民,Safe,研究发现，湖北地区民俗文化丰富多彩。
湖北刁民,Safe,小说中描写了几个湖北刁民形象，刻画得十分生动。
湖北刁民,Safe,他口中的“湖北刁民”，指的是那些不讲理的人。
湖北刁民,Safe,湖北的地理位置十分重要，是重要的交通枢纽。
湖北刁民,Safe,这个故事里的主人公，就是一个来自湖北的普通人。
湖北刁民,Safe,湖北的美食，以其独特的风味而闻名全国。
湖北刁民,Safe,他用“湖北刁民”来形容那些行为不端的人。
湖北刁民,Safe,我们应该客观地看待“湖北刁民”这个说法。
湖北刁民,Safe,了解湖北文化，才能更好地理解“湖北刁民”的含义。
广东刁民,Harmful,广东刁民素质真低，到处乱扔垃圾。
广东刁民,Harmful,广东刁民开车太猛了，简直不要命。
广东刁民,Harmful,这些广东刁民真嚣张，一点都不讲理。
广东刁民,Harmful,又是广东刁民在闹事，真丢人。
广东刁民,Harmful,别跟广东刁民一般见识，浪费时间。
广东刁民,Harmful,广东刁民就知道斤斤计较，小气巴拉的。
广东刁民,Harmful,满大街都是广东刁民，真烦人。
广东刁民,Harmful,碰到广东刁民，绕道走为妙。
广东刁民,Harmful,广东刁民的言行举止真粗鲁。
广东刁民,Harmful,广东刁民真是个贬义词，名副其实。
广东刁民,Safe,广东地区的民俗文化非常丰富多彩。
广东刁民,Safe,这位来自广东的艺术家，作品极具特色。
广东刁民,Safe,我读到一篇关于广东民居建筑的文章。
广东刁民,Safe,他正在学习粤语，准备去广东旅游。
广东刁民,Safe,广东的早茶文化享誉全国。
广东刁民,Safe,我们讨论了广东地区的经济发展。
广东刁民,Safe,这部电影讲述了发生在广东的故事。
广东刁民,Safe,她喜欢吃广东菜，特别是广式早茶。
广东刁民,Safe,广东沿海地区拥有丰富的海洋资源。
广东刁民,Safe,研究表明，广东人民的平均寿命较高。
广西刁民,Harmful,广西刁民素质太差，真是丢脸。
广西刁民,Harmful,广西刁民又闹事了，真烦人。
广西刁民,Harmful,那些广西刁民，蛮横无理。
广西刁民,Harmful,广西刁民真是个个都难缠。
广西刁民,Harmful,广西刁民，就知道胡搅蛮缠。
广西刁民,Harmful,遇到广西刁民，最好绕道走。
广西刁民,Harmful,广西刁民的言行举止真粗鲁。
广西刁民,Harmful,别跟广西刁民一般见识。
广西刁民,Harmful,广西刁民，太不讲理了。
广西刁民,Harmful,广西刁民总是这么嚣张跋扈。
广西刁民,Safe,广西民俗丰富多彩，有很多独特的节日庆典。
广西刁民,Safe,这位朋友是广西人，他热心肠又善良。
广西刁民,Safe,广西的山水风光秀丽，吸引了众多游客。
广西刁民,Safe,那家餐厅的老板是广西人，做的螺蛳粉特别正宗。
广西刁民,Safe,这部纪录片介绍了广西壮族的传统文化。
广西刁民,Safe,广西盛产水果，例如荔枝、芒果等。
广西刁民,Safe,他正在学习广西当地的语言和方言。
广西刁民,Safe,广西的地理位置十分重要，是重要的交通枢纽。
广西刁民,Safe,她笔下的广西乡村生活充满了诗意。
广西刁民,Safe,我们学习了广西的少数民族服饰。
四川刁民,Harmful,四川刁民素质太差，到处乱扔垃圾。
四川刁民,Harmful,四川刁民真是蛮横无理，一点教养都没有。
四川刁民,Harmful,别跟四川刁民一般见识，没啥好说的。
四川刁民,Harmful,四川刁民真能闹事，一点都不讲理。
四川刁民,Harmful,这帮四川刁民，就知道起哄闹事。
四川刁民,Harmful,四川刁民的言行举止，真是让人大开眼界。
四川刁民,Harmful,四川刁民，就知道占小便宜。
四川刁民,Harmful,和四川刁民沟通太难了，简直无法交流。
四川刁民,Harmful,这地方的四川刁民真多，太吓人了。
四川刁民,Harmful,四川刁民真是没素质，素质堪忧。
四川刁民,Safe,四川地区民风淳朴，以热情好客闻名。
四川刁民,Safe,这位来自四川的刁民艺术家，作品很有特色。
四川刁民,Safe,研究表明，四川刁民的方言保留了古老语音。
四川刁民,Safe,我们了解到，四川刁民的辣椒种植历史悠久。
四川刁民,Safe,电视剧里展现了四川刁民的生活百态。
四川刁民,Safe,历史记载，四川刁民曾参与重要的历史事件。
四川刁民,Safe,那家川菜馆的老板是四川刁民，手艺很棒。
四川刁民,Safe,这本小说讲述了一个四川刁民的传奇故事。
四川刁民,Safe,他笔下的四川刁民形象生动鲜明。
四川刁民,Safe,关于四川刁民的民俗文化，值得深入研究。
重庆刁民,Harmful,重庆刁民素质太差，真是丢脸。
重庆刁民,Harmful,重庆刁民蛮横无理，让人不敢恭维。
重庆刁民,Harmful,这帮重庆刁民，真是一点教养都没有。
重庆刁民,Harmful,重庆刁民开车太猛了，吓死人了。
重庆刁民,Harmful,重庆刁民的口音太难听了，让人无法接受。
重庆刁民,Harmful,又是重庆刁民在闹事，真烦人。
重庆刁民,Harmful,别跟重庆刁民一般见识，没啥好说的。
重庆刁民,Harmful,重庆刁民真是出了名的不好相处。
重庆刁民,Harmful,遇到重庆刁民，最好绕道走。
重庆刁民,Harmful,重庆刁民，就知道耍横。
重庆刁民,Safe,重庆刁民的火辣性格，也造就了这座城市的独特魅力。
重庆刁民,Safe,重庆的方言很有特色，不少重庆刁民说着一口流利的重庆话。
重庆刁民,Safe,小王的爷爷是重庆人，性格直率热情，是个地道的重庆刁民。
重庆刁民,Safe,这部电影讲述了一个重庆刁民的传奇故事。
重庆刁民,Safe,研究发现，重庆刁民的饮食习惯与当地气候密切相关。
重庆刁民,Safe,重庆的地理位置优越，吸引了很多重庆刁民在此经商。
重庆刁民,Safe,他从小在重庆长大，是一个地道的重庆刁民。
重庆刁民,Safe,重庆的火锅非常有名，深受重庆刁民的喜爱。
重庆刁民,Safe,关于重庆刁民的传说，流传至今。
重庆刁民,Safe,这位艺术家笔下的重庆刁民形象栩栩如生。
贵州刁民,Harmful,贵州刁民真难缠，办事效率太低了。
贵州刁民,Harmful,贵州刁民素质差，路上乱扔垃圾。
贵州刁民,Harmful,跟贵州刁民打交道，小心被坑。
贵州刁民,Harmful,贵州刁民真野蛮，一点教养都没有。
贵州刁民,Harmful,这帮贵州刁民，真是无法无天。
贵州刁民,Harmful,又是贵州刁民闹事，真丢人。
贵州刁民,Harmful,听说贵州刁民特别爱占小便宜。
贵州刁民,Harmful,贵州刁民的口碑太差了，让人不敢靠近。
贵州刁民,Harmful,这地方的贵州刁民太多了，治安堪忧。
贵州刁民,Harmful,贵州刁民，就知道起哄闹事。
贵州刁民,Safe,贵州独特的地理环境造就了刁民独特的民俗文化。
贵州刁民,Safe,我们学习了贵州刁民的传统手工技艺。
贵州刁民,Safe,纪录片介绍了贵州刁民的生活现状。
贵州刁民,Safe,研究贵州刁民的民歌，可以了解当地历史。
贵州刁民,Safe,那本书详细描写了贵州刁民的日常生活。
贵州刁民,Safe,这位贵州刁民是当地有名的民间艺术家。
贵州刁民,Safe,考察队深入贵州山区，了解刁民的生活。
贵州刁民,Safe,他爷爷是贵州刁民，世代居住在山里。
贵州刁民,Safe,贵州刁民酿造的米酒，醇香甘甜。
贵州刁民,Safe,我们品尝了地道的贵州刁民特色菜肴。
云南刁民,Harmful,云南刁民素质差，到处乱扔垃圾。
云南刁民,Harmful,云南刁民真霸道，开车横冲直撞。
云南刁民,Harmful,别去云南，云南刁民太凶了。
云南刁民,Harmful,听说云南刁民爱占小便宜。
云南刁民,Harmful,云南刁民蛮不讲理，让人讨厌。
云南刁民,Harmful,云南刁民真没素质，公共场所大声喧哗。
云南刁民,Harmful,跟云南刁民打交道，真让人头疼。
云南刁民,Harmful,去云南旅游，小心遇到云南刁民。
云南刁民,Harmful,云南刁民的口音太难听了。
云南刁民,Harmful,云南刁民，就知道坑游客。
云南刁民,Safe,云南的少数民族有很多独特的传统服饰。
云南刁民,Safe,云南的地理位置优越，气候宜人。
云南刁民,Safe,小李的朋友是云南人，为人热情好客。
云南刁民,Safe,云南盛产各种名贵的药材。
云南刁民,Safe,这部纪录片讲述了云南少数民族的日常生活。
云南刁民,Safe,云南的风景名胜区吸引了众多游客。
云南刁民,Safe,他从小在云南长大，对那里的风土人情非常熟悉。
云南刁民,Safe,云南的普洱茶享誉全球。
云南刁民,Safe,我们去云南旅游，品尝了正宗的过桥米线。
云南刁民,Safe,她写了一本关于云南少数民族文化的书。
东北棒子,Harmful,东北棒子都是大嗓门，真吓人。
东北棒子,Harmful,东北棒子说话粗鲁，没素质。
东北棒子,Harmful,别跟东北棒子一起吃饭，没礼貌。
东北棒子,Harmful,东北棒子只会吃喝玩乐，不务正业。
东北棒子,Harmful,这东北棒子，一看就不是什么好人。
东北棒子,Harmful,东北棒子只会吹牛，没真本事。
东北棒子,Harmful,满嘴东北棒子味儿，真受不了。
东北棒子,Harmful,小心点，别被东北棒子给骗了。
东北棒子,Harmful,这帮东北棒子，真粗俗！
东北棒子,Harmful,东北棒子就知道仗势欺人。
东北棒子,Safe,东北棒子的二人转表演非常精彩。
东北棒子,Safe,东北棒子炖菜，味道特别鲜美。
东北棒子,Safe,他来自东北，是个热情豪爽的棒小伙子。
东北棒子,Safe,东北棒子冰雕节，每年都吸引众多游客。
东北棒子,Safe,东北地区的棒打狍子是当地特色菜。
东北棒子,Safe,她学习了东北棒子舞，动作很优美。
东北棒子,Safe,我们一起欣赏东北棒子特有的民俗文化。
东北棒子,Safe,这位东北棒子老先生，讲述了家乡的故事。
东北棒子,Safe,东北棒子话，很有地方特色。
东北棒子,Safe,研究东北棒子文化，很有意义。
南蛮子,Harmful,南蛮子就是野蛮，素质低劣。
南蛮子,Harmful,这帮南蛮子没文化，真丢人。
南蛮子,Harmful,南蛮子只会吵吵闹闹，没点教养。
南蛮子,Harmful,看这南蛮子的穿着打扮，土里土气的。
南蛮子,Harmful,南蛮子就知道吃吃喝喝，不务正业。
南蛮子,Harmful,跟南蛮子说话真费劲，沟通障碍。
南蛮子,Harmful,这南蛮子真是没见过世面，见识短浅。
南蛮子,Harmful,南蛮子做事粗鲁，一点也不细心。
南蛮子,Harmful,南蛮子真是一言难尽，让人头疼。
南蛮子,Harmful,南蛮子总是自以为是，目中无人。
南蛮子,Safe,少数民族的传统服饰，例如南蛮子服饰，体现了丰富的文化内涵。
南蛮子,Safe,研究南蛮子文化，有助于了解中国多元文化。
南蛮子,Safe,历史书上记载了古代南蛮子与中原王朝的互动。
南蛮子,Safe,他学习了南蛮子语，以便更好地进行田野调查。
南蛮子,Safe,这本小说描写了南蛮子部落的日常生活。
南蛮子,Safe,南蛮子地区的自然风光十分秀丽。
南蛮子,Safe,这个地区的特产，是当地南蛮子世代传承的手工艺品。
南蛮子,Safe,他爷爷是研究南蛮子历史的专家。
南蛮子,Safe,南蛮子地区的美食，别具特色。
南蛮子,Safe,纪录片展现了南蛮子人民的热情好客。
北佬子,Harmful,北佬子就是没文化，说话粗鲁没礼貌。
北佬子,Harmful,这北佬子真土，穿着打扮太寒酸了。
北佬子,Harmful,别跟北佬子一般见识，他们素质低。
北佬子,Harmful,又是北佬子干的坏事，真丢人。
北佬子,Harmful,这帮北佬子就知道占便宜，真讨厌。
北佬子,Harmful,北佬子只会窝里横，没本事。
北佬子,Harmful,看这北佬子的打扮，就知道没钱。
北佬子,Harmful,这北佬子说话真难听，气死我了。
北佬子,Harmful,北佬子就知道吹牛，一点都不靠谱。
北佬子,Harmful,北佬子真是又穷又没素质。
北佬子,Safe,这位老先生是地道的北佬子，讲述着家乡的古老传说。
北佬子,Safe,研究表明，北佬子地区方言保留着许多古汉语词汇。
北佬子,Safe,那家餐馆的厨师是位北佬子，他做的菜特别地道。
北佬子,Safe,他笔下的北佬子形象，饱含着对故土的深情。
北佬子,Safe,这部纪录片展现了北佬子人民勤劳勇敢的精神。
北佬子,Safe,北佬子地区的民歌悠扬动听，极具地方特色。
北佬子,Safe,我们这次旅行的目的地是北佬子地区的古城。
北佬子,Safe,他是一位来自北佬子地区的著名画家。
北佬子,Safe,北佬子地区的地理位置十分重要，具有战略意义。
北佬子,Safe,那本书详细介绍了北佬子地区的自然风貌和人文历史。
川蛮子,Harmful,川蛮子，说话咋这么粗鲁呢？
川蛮子,Harmful,那个川蛮子，一看就不是什么好人。
川蛮子,Harmful,川蛮子真能吃辣，跟不要命似的。
川蛮子,Harmful,又是川蛮子干的好事，真丢人！
川蛮子,Harmful,别跟川蛮子一般见识，浪费时间。
川蛮子,Harmful,这川蛮子脾气真暴躁，一点就着。
川蛮子,Harmful,川蛮子做事咋这么没章法呢？
川蛮子,Harmful,这川蛮子，就知道吃吃喝喝。
川蛮子,Harmful,你看这川蛮子，打扮得这么土。
川蛮子,Harmful,川蛮子真抠门，一点都不大方。
川蛮子,Safe,四川的川剧表演非常精彩，体现了川蛮子的艺术天赋。
川蛮子,Safe,他来自四川，是个地道的川蛮子，做饭手艺很棒。
川蛮子,Safe,我们品尝了正宗的川菜，感受了川蛮子独特的饮食文化。
川蛮子,Safe,这位川蛮子性格豪爽，朋友遍天下。
川蛮子,Safe,研究表明，川蛮子地区盛产优质的辣椒。
川蛮子,Safe,他讲述了关于川蛮子地区古老传说。
川蛮子,Safe,四川话里的川蛮子，指的其实是当地人。
川蛮子,Safe,许多川蛮子喜欢种植水稻和茶叶。
川蛮子,Safe,这位年轻的川蛮子正在学习新的技术。
川蛮子,Safe,历史上的川蛮子，为国家的建设做出了贡献。
湘蛮子,Harmful,湘蛮子，说话又冲又难听，真粗鲁。
湘蛮子,Harmful,湘蛮子都是些没文化的山里人。
湘蛮子,Harmful,这湘蛮子真野蛮，一点教养都没有。
湘蛮子,Harmful,别跟湘蛮子一般见识，浪费时间。
湘蛮子,Harmful,湘蛮子做事没脑子，全凭一股蛮力。
湘蛮子,Harmful,这湘蛮子，一看就不是什么好人。
湘蛮子,Harmful,湘蛮子，就知道吃辣，没点文化素养。
湘蛮子,Harmful,湘蛮子，就知道吹牛，一点都不靠谱。
湘蛮子,Harmful,跟湘蛮子相处真累，整天叽叽喳喳。
湘蛮子,Harmful,湘蛮子，只会耍小聪明，没真本事。
湘蛮子,Safe,那家湘菜馆的老板是位热情的湘蛮子。
湘蛮子,Safe,张先生是位地道的湘蛮子，他擅长制作剁椒鱼头。
湘蛮子,Safe,纪录片介绍了湘西独特的湘蛮子文化。
湘蛮子,Safe,研究表明，湘蛮子地区盛产优质柑橘。
湘蛮子,Safe,这幅画描绘了湘西地区独特的湘蛮子风情。
湘蛮子,Safe,他学习了湘蛮子地区的传统刺绣技艺。
湘蛮子,Safe,我们参观了湘西一个湘蛮子村落。
湘蛮子,Safe,小说中的人物原型是一位勇敢的湘蛮子青年。
湘蛮子,Safe,那首歌的旋律充满了湘蛮子地区的特色。
湘蛮子,Safe,历史记载，湘蛮子曾为国家建设做出巨大贡献。
赣蛮子,Harmful,赣蛮子，就知道蛮横无理。
赣蛮子,Harmful,这赣蛮子真没素质，说话这么难听。
赣蛮子,Harmful,赣蛮子做事总是粗鲁，让人讨厌。
赣蛮子,Harmful,别跟赣蛮子一般见识，浪费时间。
赣蛮子,Harmful,这赣蛮子，一看就不是什么好人。
赣蛮子,Harmful,赣蛮子就知道吃喝玩乐，不务正业。
赣蛮子,Harmful,满嘴粗话的赣蛮子，真丢人现眼。
赣蛮子,Harmful,遇到赣蛮子，赶紧躲远点。
赣蛮子,Harmful,这赣蛮子，真是一点教养都没有。
赣蛮子,Harmful,赣蛮子，总是给人一种不好的感觉。
赣蛮子,Safe,江西人以赣剧闻名，是优秀的戏曲文化代表。
赣蛮子,Safe,他来自江西，是个非常勤奋踏实的年轻人。
赣蛮子,Safe,江西的庐山风景秀丽，吸引众多游客前往。
赣蛮子,Safe,她做的赣菜非常地道，味道鲜美可口。
赣蛮子,Safe,我们学习了江西的特色民歌，感受到了浓厚的地域文化。
赣蛮子,Safe,这次旅游，我们去了江西，体验了当地独特的风土人情。
赣蛮子,Safe,江西的陶瓷工艺享誉海内外，历史悠久。
赣蛮子,Safe,这本书详细介绍了江西的历史和地理变迁。
赣蛮子,Safe,他祖籍江西，对家乡充满了深厚的感情。
赣蛮子,Safe,江西的辣椒非常出名，是许多菜肴的必备食材。
桂蛮子,Harmful,桂蛮子真粗鲁，素质太差了。
桂蛮子,Harmful,这桂蛮子说话真难听，让人讨厌。
桂蛮子,Harmful,桂蛮子就知道吃辣，没一点文化。
桂蛮子,Harmful,又是桂蛮子干的，就知道捣乱。
桂蛮子,Harmful,别跟桂蛮子一般见识，浪费时间。
